GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PayMyBuddy,com.paymybuddy,PayMyBuddyApplication,5,10,0,0,2,4,1,3,1,3
PayMyBuddy,com.paymybuddy.config,ActuatorConfig,0,7,0,0,0,2,0,2,0,2
PayMyBuddy,com.paymybuddy.config,Constants,3,6,0,0,1,2,1,1,1,1
PayMyBuddy,com.paymybuddy.service,UserService,12,190,1,15,3,58,1,13,0,6
PayMyBuddy,com.paymybuddy.service,BillingService,6,115,1,9,3,37,1,8,0,4
PayMyBuddy,com.paymybuddy.service,RelationService,0,149,3,17,0,44,3,12,0,5
PayMyBuddy,com.paymybuddy.service,TransferService,5,325,2,14,3,113,2,11,0,5
PayMyBuddy,com.paymybuddy.model,AppAccount,36,93,8,6,15,27,12,10,5,10
PayMyBuddy,com.paymybuddy.model,PersonalTransfer,32,21,0,0,14,9,9,3,9,3
PayMyBuddy,com.paymybuddy.model,Transaction,26,37,0,0,12,15,7,7,7,7
PayMyBuddy,com.paymybuddy.model,PersonalPayment,46,27,0,0,20,11,13,3,13,3
PayMyBuddy,com.paymybuddy.model,User,16,77,0,0,8,28,4,15,4,15
